Model,GDPR-critical,GDPR-critical,GDPR-critical,GDPR-uncritical,GDPR-uncritical,GDPR-uncritical,Macro Average,Macro Average,Macro Average,Macro Average,Macro Average
,Prec.,Rec.,F1,Prec.,Rec.,F1,Acc.,Prec.,Rec.,F1,AUC
FinancialBERT,0.844,0.848,0.846,0.839,0.835,0.837,0.842,0.842,0.842,0.842,0.915
albert-base-v2,0.895,0.836,0.865,0.838,0.897,0.866,0.866,0.867,0.866,0.866,0.925
LegalBERT_GDPR,0.897,0.848,0.872,0.848,0.897,0.872,0.873,0.873,0.873,0.872,0.931
distilbert-base-uncased,0.85,0.848,0.849,0.84,0.842,0.841,0.845,0.845,0.845,0.845,0.924
roberta-base,0.891,0.861,0.876,0.858,0.889,0.873,0.875,0.874,0.875,0.874,0.947
xlm-roberta-base,0.872,0.853,0.863,0.848,0.868,0.858,0.861,0.86,0.861,0.861,0.931
bert-base-uncased,0.827,0.856,0.841,0.842,0.811,0.826,0.834,0.835,0.834,0.834,0.904
electra-base-discriminator,0.892,0.848,0.87,0.848,0.891,0.869,0.87,0.87,0.87,0.869,0.932
DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,0.907,0.716,0.801,0.755,0.922,0.83,0.819,0.831,0.819,0.815,0.897
bert-base-uncased-contracts,0.869,0.846,0.857,0.842,0.866,0.854,0.856,0.856,0.856,0.856,0.929
bert-base-uncased-echr,0.888,0.834,0.86,0.835,0.889,0.861,0.861,0.861,0.861,0.861,0.925
bert-base-uncased-eurlex,0.88,0.824,0.851,0.826,0.881,0.852,0.853,0.853,0.853,0.852,0.928
legal-bert-base-uncased,0.881,0.829,0.854,0.83,0.881,0.855,0.855,0.855,0.855,0.854,0.932
luke-base,0.884,0.856,0.87,0.852,0.881,0.867,0.868,0.868,0.868,0.868,0.944
